Name	Program 1	Program 2	Program 3	Program 4	Interests
"Abraham, Joanna"	Biomedical Informatics and Data Science				"Handoffs, Care transitions, decision making, health information technology, medication ordering 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Abu-Amer, Yousef"	"Developmental, Regenerative and Stem Cell Biology"	Molecular Cell Biology			"Our research interests are focused on understanding the cellular and molecular mechanisms underlying inflammatory osteolysis. Human diseases such as erosive arthritis and aseptic loosening of orthopedic implants are complicated with inflammatory responses owing to infiltration of host defense cells including macrophages and osteoclasts culminating with elevated osteolysis. Thus, remedies to combat deterioration of bone directly should target the cells solely responsible for osteolysis, i.e. osteoclasts. We have several translational projects with immediate relevance to human osteolytic diseases. Specifically, we are investigating 1) mechanisms of particle induction of osteoclasts and osteolysis in response to orthopedic particles normally used in implants. 2) Molecular regulation of bone erosion in rheumatoid arthritis, and 3) molecular regulation of inflammatory osteoclastogenesis. We have determined that NF-kB and MAP kinases are the primary mechanisms underlying these inflammatory osteolytic diseases. Further, we have identified precise elements in the NF-kB pathway capable of regulating these osteolytic pathway and hold promise for therapeutic intervention."
"Abumrad, Nada"	"Biochemistry, Biophysics, and Structural Biology"	Molecular Cell Biology			"Our research identified the membrane protein CD36 as a high affinity receptor for long chain fatty acid (FA) and as a signaling protein that plays a key role in metabolic regulation. We recently documented that CD36-mediated signal transduction involves modulation of the assembly/disassembly of proteins in the AMPK and insulin signaling pathways and we are exploring how this affects activity of downstream proteins of FA and glucose metabolism. In humans, we found that variants in the CD36 gene influence blood lipids and risk of metabolic syndrome and more recently endothelial function. We will be exploring the contribution of CD36 polymorphisms to the susceptibility for endothelial dysfunction, a condition that often precedes insulin resistance, inflammation and onset of metabolic pathologies."
"Ackerman, Sarah"	"Developmental, Regenerative and Stem Cell Biology"	Molecular Genetics and Genomics	Neurosciences		"The Ackerman lab uses both zebrafish and fruit fly model systems to determine how distinct glial cell populations (individually and collectively) instruct nervous system development and disease, from synapses to circuits.
Lab Website"
"Agrawal, Arpana"	Human and Statistical Genetics				"My research focuses on understanding genetic and environmental contributions to addictions. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Akk, Gustav"	Molecular Cell Biology	Neurosciences			"My lab is interested in how ligand-gated ion channel work. We focus on the GABAA and nicotinic acetylcholine receptors. These receptors are mostly located in the postsynaptic cell membrane where they respond to presynaptically released transmitter molecules with a conformational change which results in the flow of ions through the cell membrane. We have been studying the mechanisms by which agonists and antagonists interact with the ligand-gated ion channels, and how these events lead to conformational changes. We are also interested in drug interactions, i.e., how the receptors behave in the presence of clinically used anesthetics and anxiolytics.Most of the work is carried out on recombinant receptors transiently or stably expressed in a heterologous expression system, such as human embryonic kidney cells or Xenopus oocytes. We utilize an array of electrophysiological approaches: cell-attached and excised single-channel patch clamp, whole-cell and outside-out macroscopic recordings, and two-electrode voltage clamp. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Albrecht, Matthew"	"Evolution, Ecology and Population Biology"				"Our lab group is broadly interested in solving real-world problems related to the conservation and restoration of rare plants. Current themes in our research group include understanding how habitat change and climate influence rare plant population dynamics, the relative roles of biotic and abiotic factors in shaping the dynamics of restored plant populations, and the seed and seedling ecology of rare plants. To better understand the drivers of rarity and population decline, our research typically combines observational studies, demographic simulations, and manipulative experiments (usually with seeds and seedlings). _We work primarily in grasslands and woodlands in the south-central United States, and work with a wide range of partners to develop solutions to conservation problems. Most projects include a mix of applied research and on-the-ground conservation activities (seed-banking, reintroduction, and habitat restoration),_ typically with the most globally imperiled plant species in the region."
"Alexander-Brett, Jennifer"	"Biochemistry, Biophysics, and Structural Biology"	"Developmental, Regenerative and Stem Cell Biology"	Immunology		"My research interests focus on cytokine pathways relevant to lung epithelial stem cell function in airway disease. Taking a translational approach to disease mechanism, I employ human airway specimens, mouse models, stem cell culture, molecular and structural biology. My postdoctoral work under the mentorship of Dr. Michael Holtzman has to date involved the phenotypic and functional characterization of disease-associated IL-33 expressing airway cells and their pathogenic role in driving chronic airway disease. As I transition to independence, my research on this cytokine system will focus on the pathway of cellular IL-33 activation/release, including biochemical and structural definition of intracellular (nuclear, transcriptional regulatory) and extracellular aspects of this unique dual-functioning cytokine. Results of this analysis will guide efforts toward development of IL-33 antagonists as therapeutics for chronic airway disease.
My clinical interests include lung transplantation, particularly management of factors contributing to development of chronic allograft rejection, and critical care medicine.
Lab Website"
"Al-Hasani McCall, Ream"	"Biochemistry, Biophysics, and Structural Biology"	Molecular Cell Biology	Neurosciences		"My goal is to establish an independent research career aimed at understanding the endogenous opioid systems to defeat addiction, ameliorate affective disorders, and relieve chronic pain. I intend to do this by three primary means: 1) groundbreaking biological research in my own independent laboratory, 2) collaborative efforts with academia and industry partners to advance both our tools and our knowledge, and 3) training the next generation of research scientists. Throughout my career, I have maintained steady determination to build my scientific and leadership expertise to be well prepared to guide an independent laboratory and mentor trainees."
"Almeida de Pinho Ribeiro, Felipe"	Immunology	Molecular Microbiology and Microbial Pathogenesis	Neurosciences		"My lab investigates the mechanisms by which sensory neurons shape immunity and how these neuroimmune interactions contribute to the pathogenesis of human diseases. We combine techniques from neuroscience and Immunologymouse models of human diseases (infectious and non-infectious), and in vitro cultures of sensory neurons and immune cells to uncover the details of this neural control of immunity and to identify new approaches to treating immune-related diseases by targeting the sensory nervous system.Ê"
"Amarasinghe, Gaya"	"Biochemistry, Biophysics, and Structural Biology"	Immunology	Molecular Microbiology and Microbial Pathogenesis		"The innate immune system serves as a first line of defense against viral infections. Germline encoded pattern recognition receptors detect pathogens and promote innate immune responses, including activation of type I interferons (IFNs) and stimulation of antiviral genes. In addition to limiting infections, innate immunity is required to activate humoral responses and to develop long-term protection via adaptive immune response. Dysregulation of IFN signaling is detrimental to the host, resulting in events such as cytokine storms during infections or autoimmune disorders.
In my laboratory, we use a multidisciplinary research program that spans length and time scales to address this question by characterizing the molecular mechanisms of initial interactions at the host-pathogen interface. Using this information, we expect to develop a framework to manipulate viruses by modulating virulence (less virulent) in order to gain insight into immune mechanisms that are at play during these critical time points. Our current efforts are aimed toward defining the molecular basis for viral hemorrhagic fever (VHF) at the host-viral interface. VHF is a complex multivariable challenge with contributions from the virus and from the host dictating the outcome. We have begun a series of studies to understand the viral components, host factors and their interactions between each other. Below I briefly describe recent and recently completed studies that provide the experimental framework for us to examine these questions.
Lab Website"
"Amargant i Riera, Farners"	"Developmental, Regenerative and Stem Cell Biology"	Molecular Cell Biology			"The Amargant i Riera Lab uses a multidisciplinary approach to investigate how biochemical and biomechanical signals from the ovary regulate folliculogenesis and oocyte quality, and whether these mechanisms are altered in reproductive-associated diseases such as PCOS and aging. To achieve this, we harness a diverse array of cutting-edge techniques, including follicle culture, high-resolution microscopy, cellular and molecular biology techniques, bioengineering tools, as well as a variety of mouse models and human samples.Ê
Lab Website"
"An, Hongyu"	Neurosciences				"My primary research interest is to develop novel imaging methods to deepen our understanding of pathophysiology and improve clinical diagnosis and patient management. My research is focused on MR imaging and combined PET/MR imaging with expertise in MRI physics, MR sequence design and programming, image reconstruction, image and data analysis, and deep learning.
I have extensive experience in MR oxygen metabolic imaging, perfusion (Dynamic Susceptibility Contrast and Arterial Spin Labeling) imaging, susceptibility-weighted imaging (SWI), diffusion MR imaging, quantitative T1 and T2 measurements, and attenuation and motion correction for simultaneous PET/MR measurements. Our group has developed novel MR physiological imaging techniques and applied them to study cerebral small vessel disease and sickle cell disease. Moreover, we have developed deep learning-based MR-derived pseudo-CT for PET/MR attenuation correction and pediatric cranial bone imaging to reduce ionizing radiation. We have developed deep learning-based methods to reconstruct highly under-sampled MR k-space data to accelerate acquisition and perform free-breathing motion-compensated dynamic contrast-enhanced (DCE) MRI in the liver."
"Ances, Beau"	Biomedical Informatics and Data Science	Molecular Microbiology and Microbial Pathogenesis	Neurosciences		"Current projects in the laboratory include the development of methods for acquisition, processing and analysis of images from multiple modalities with applications towards a greater understanding of disease states including HIV, AlzheimerÕs disease, and aging.
Lab Website"
"Apte, Rajendra"	"Developmental, Regenerative and Stem Cell Biology"	Neurosciences			"My interests are in understanding mechanisms underlying retinal diseases at the fundamental and translational level. At the bench, we investigate the pathophysiology of retinal diseases. The translational element involves conducting clinical trials investigating potential therapies for retinal diseases. 
                        
                        
                            
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Artomov, Maksym"	"Biochemistry, Biophysics, and Structural Biology"	Computational and Systems Biology	Immunology		"Artyomov lab works on the understanding immune cell responses through systems level approach. We are focused on linking high-throughput data generation, hypothesis-centered data analysis and experimental validation of the system in question. Major interest is in the integrating epigenetic, transcriptional and metabolic regulation of the immune system on the cellular level. Specifically, we developed state-of-the-art high-throughput transcriptional-metabolic profiling and analysis pipeline. Using it, we discovered and validated novel metabolic mechanisms controlling macrophage polarization as well as provided comprehensive description of the global metabo-transcriptional rewiring. We then followed up on our global reconstruction of metabolic rewiring in macrophages and discovered novel immunoregulatory role for LPS-inducible metabolite itaconate (Cell Metabolism, in press). 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Ashrafi, Ghazal"	Molecular Cell Biology	Neurosciences			"The brain is the most energy consuming organ of the body and is highly sensitive to energetic perturbations. However, regulatory mechanism that modulate neuronal metabolism are poorly understood. In firing nerve terminals, both glycolysis and oxidative phosphorylation (OxPhos) are rapidly upregulated to meet the energetic requirements of synaptic activity1. While this upregulation represents transient modulation of neuronal metabolism, it is not clear how neurons adapt to chronic changes in energetic burden that also occur in neurodegenerative diseases such as AlzheimerÕs disease (AD). The research in my lab will be focused on uncovering novel regulators of glycolytic and mitochondrial metabolism at the synapse and their role in the pathology of AlzheimerÕs disease."
"Atkinson, John"	Human and Statistical Genetics	Immunology	Molecular Microbiology and Microbial Pathogenesis		"John Atkinson received his B.A. and M.D. degrees from the University of Kansas. His training in internal medicine was at the Massachusetts General Hospital and the National Institutes of Health. His postdoctoral research training was at the National Institutes of Health and at Washington University. At Washington University since 1976, he directed the Division of Rheumatology from 1976 to 1992 and was an investigator of the Howard Hughes Medical Institute from 1976 to 1992. He was Physician-in-Chief at Barnes Hospital and Adolphus Busch Professor and Head of John Milliken Department of Medicine from 1992 to 1997. Dr.ÊAtkinson is currently Samuel B. Grant Professor of Medicine and holds a joint Professorship in Molecular Microbiology.ÊHe also serves as Director of the RVCL Research Center.ÊÊRetinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations (RVCL-S) is an ultra-rare autosomomal dominant genetic disease that causes progressive loss of the microvasculature.ÊThe goal of his research effort is to increase our understanding of the origins of autoimmunityÊand to discover a treatment for RVCL. His clinical activities center on the care of patients withÊRVCL,complement deficiencies and immune mediated inflammatory disorders, especially SLE and vasculitic syndromes. He particularly enjoys teaching medicine, Immunologyand rheumatology to medical and graduate students, house staff, and rheumatology fellows. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Avidan, Michael"	Neurosciences				"I am involved in perioperative outcomes research, including areas such as cognitive decline, awareness during surgery, perioperative bleeding and obstructive sleep apnea."
